"name"	"AverageShortestPathLength"	"BetweennessCentrality"	"ClosenessCentrality"	"ClusteringCoefficient"	"Degree"	"Eccentricity"	"IsSingleNode"	"NeighborhoodConnectivity"	"NumberOfDirectedEdges"	"NumberOfUndirectedEdges"	"PartnerOfMultiEdgedNodePairs"	"Radiality"	"selected"	"SelfLoops"	"shared.name"	"Stress"	"TopologicalCoefficient"	"hub"	"Genus"	"otu_Genus"
"24"	"Otu00025"	2.64227642276423	0.00889992532183153	0.378461538461538	0.622222222222222	10	4	"false"	10.6	0	10	0	0.974339430894309	"false"	0	"Otu00025"	1502	0.276315789473684	"no"	"g__Stenotrophomonas"	"Otu00025_g__Stenotrophomonas"
"25"	"Otu00026"	1.77235772357724	0.0423433373173613	0.564220183486238	0.258467023172906	34	3	"false"	22.3235294117647	0	34	0	0.987931910569106	"false"	0	"Otu00026"	5274	0.19079939668175	"yes"	"f__[Kouleothrixaceae]_unclassified"	"Otu00026_f__[Kouleothrixaceae]_unclassified"
"26"	"Otu00027"	3.04878048780488	0.00250406824343875	0.328	0.785714285714286	8	5	"false"	9	0	8	0	0.967987804878049	"false"	0	"Otu00027"	1268	0.5	"no"	"g__Paenibacillus"	"Otu00027_g__Paenibacillus"
"27"	"Otu00028"	1.82113821138211	0.0283752773519409	0.549107142857143	0.308712121212121	33	3	"false"	24.7575757575758	0	33	0	0.987169715447154	"false"	0	"Otu00028"	4754	0.221049783549784	"no"	"o__Solirubrobacterales_unclassified"	"Otu00028_o__Solirubrobacterales_unclassified"
"28"	"Otu00031"	1.91056910569106	0.00982730021714402	0.523404255319149	0.334677419354839	32	4	"false"	24.59375	0	32	0	0.985772357723577	"false"	0	"Otu00031"	1422	0.23877427184466	"no"	"f__Dolo_23_unclassified"	"Otu00031_f__Dolo_23_unclassified"
"29"	"Otu00032"	1.82113821138211	0.0229521587872305	0.549107142857143	0.270588235294118	35	4	"false"	23.8571428571429	0	35	0	0.987169715447154	"false"	0	"Otu00032"	3016	0.214929214929215	"no"	"f__Gaiellaceae_unclassified"	"Otu00032_f__Gaiellaceae_unclassified"
"30"	"Otu00033"	1.78861788617886	0.0245994956927304	0.559090909090909	0.296896086369771	39	4	"false"	24.8205128205128	0	39	0	0.987677845528455	"false"	0	"Otu00033"	4198	0.223608223608224	"no"	"o__0319-7L14_unclassified"	"Otu00033_o__0319-7L14_unclassified"
"31"	"Otu00034"	1.78048780487805	0.0226170487938289	0.561643835616438	0.328828828828829	37	4	"false"	25.5945945945946	0	37	0	0.98780487804878	"false"	0	"Otu00034"	3884	0.224513987671882	"no"	"PhiX_unclassified"	"Otu00034_PhiX_unclassified"
"32"	"Otu00035"	1.65853658536585	0.0500806440029883	0.602941176470588	0.249795918367347	50	4	"false"	22.66	0	50	0	0.989710365853659	"false"	0	"Otu00035"	6954	0.195344827586207	"yes"	"PhiX_unclassified"	"Otu00035_PhiX_unclassified"
"33"	"Otu00036"	1.82113821138211	0.0146189671820874	0.549107142857143	0.376190476190476	36	4	"false"	27.3888888888889	0	36	0	0.987169715447154	"false"	0	"Otu00036"	2436	0.248989898989899	"no"	"f__Gaiellaceae_unclassified"	"Otu00036_f__Gaiellaceae_unclassified"
"34"	"Otu00037"	1.82926829268293	0.0309550137969684	0.546666666666667	0.265546218487395	35	4	"false"	23.1714285714286	0	35	0	0.987042682926829	"false"	0	"Otu00037"	3538	0.210649350649351	"no"	"c__Gemm-1_unclassified"	"Otu00037_c__Gemm-1_unclassified"
"35"	"Otu00038"	2.08943089430894	0.00371786535193646	0.478599221789883	0.3	16	5	"false"	26.1875	0	16	0	0.982977642276423	"false"	0	"Otu00038"	590	0.255514705882353	"no"	"o__MND1_unclassified"	"Otu00038_o__MND1_unclassified"
"36"	"Otu00039"	2.15447154471545	0.00355510366638597	0.464150943396226	0.691666666666667	16	3	"false"	21.375	0	16	0	0.981961382113821	"false"	0	"Otu00039"	888	0.242897727272727	"no"	"g__Lactobacillus"	"Otu00039_g__Lactobacillus"
"37"	"Otu00040"	2.94308943089431	0.00425594526137101	0.339779005524862	0.777777777777778	9	4	"false"	9.44444444444444	0	9	0	0.969639227642276	"false"	0	"Otu00040"	1918	0.377777777777778	"no"	"g__Massilia"	"Otu00040_g__Massilia"
"38"	"Otu00041"	1.86991869918699	0.0129207961112463	0.534782608695652	0.31264367816092	30	4	"false"	25.7	0	30	0	0.986407520325203	"false"	0	"Otu00041"	2448	0.233636363636364	"no"	"g__Bradyrhizobium"	"Otu00041_g__Bradyrhizobium"
"39"	"Otu00042"	1.86178861788618	0.0159850402163406	0.537117903930131	0.324786324786325	27	4	"false"	26.2592592592593	0	27	0	0.986534552845528	"false"	0	"Otu00042"	2232	0.230344379467186	"no"	"g__Streptomyces"	"Otu00042_g__Streptomyces"
"40"	"Otu00043"	1.83739837398374	0.0200300367234863	0.544247787610619	0.294354838709677	32	4	"false"	24.875	0	32	0	0.986915650406504	"false"	0	"Otu00043"	3032	0.222098214285714	"no"	"o__SC-I-84_unclassified"	"Otu00043_o__SC-I-84_unclassified"
"41"	"Otu00044"	2.13008130081301	0.00301960893014265	0.469465648854962	0.7	16	4	"false"	24.875	0	16	0	0.982342479674797	"false"	0	"Otu00044"	790	0.270380434782609	"no"	"g__Commensalibacter"	"Otu00044_g__Commensalibacter"
"42"	"Otu00045"	2.08130081300813	0.00436959787217734	0.48046875	0.266666666666667	16	4	"false"	22.25	0	16	0	0.983104674796748	"false"	0	"Otu00045"	700	0.228737113402062	"no"	"f__Solirubrobacteraceae_unclassified"	"Otu00045_f__Solirubrobacteraceae_unclassified"
"43"	"Otu00046"	1.85365853658537	0.0137523012026851	0.539473684210526	0.301136363636364	33	4	"false"	24.3636363636364	0	33	0	0.986661585365854	"false"	0	"Otu00046"	2020	0.223519599666389	"no"	"g__Nitrospira"	"Otu00046_g__Nitrospira"
"44"	"Otu00047"	1.8780487804878	0.0098300092241593	0.532467532467533	0.372307692307692	26	4	"false"	27.7307692307692	0	26	0	0.986280487804878	"false"	0	"Otu00047"	1732	0.245405037440436	"no"	"g__Arthrobacter"	"Otu00047_g__Arthrobacter"
"45"	"Otu00048"	1.88617886178862	0.00941894904003213	0.530172413793103	0.394179894179894	28	4	"false"	27.1785714285714	0	28	0	0.986153455284553	"false"	0	"Otu00048"	1844	0.247077922077922	"no"	"g__Rhodoplanes"	"Otu00048_g__Rhodoplanes"
"46"	"Otu00049"	1.88617886178862	0.0120600352160319	0.530172413793103	0.286153846153846	26	4	"false"	24.2692307692308	0	26	0	0.986153455284553	"false"	0	"Otu00049"	1770	0.21668956043956	"no"	"g__Nocardioides"	"Otu00049_g__Nocardioides"
"47"	"Otu00050"	1.78861788617886	0.0256985420840048	0.559090909090909	0.307807807807808	37	4	"false"	25.5135135135135	0	37	0	0.987677845528455	"false"	0	"Otu00050"	4032	0.227557915057915	"no"	"o__Ellin6067_unclassified"	"Otu00050_o__Ellin6067_unclassified"
"48"	"Otu00052"	2.02439024390244	0.00194903414798462	0.493975903614458	0.375	16	4	"false"	28.3125	0	16	0	0.983993902439024	"false"	0	"Otu00052"	392	0.269642857142857	"no"	"g__Mycobacterium"	"Otu00052_g__Mycobacterium"
"49"	"Otu00053"	1.92682926829268	0.006313752408909	0.518987341772152	0.359683794466403	23	4	"false"	28.4782608695652	0	23	0	0.985518292682927	"false"	0	"Otu00053"	1184	0.260869565217391	"no"	"c__S085_unclassified"	"Otu00053_c__S085_unclassified"
"50"	"Otu00054"	2	0.00479175938678429	0.5	0.298245614035088	19	4	"false"	26.0526315789474	0	19	0	0.984375	"false"	0	"Otu00054"	828	0.241228070175439	"no"	"g__Nocardioides"	"Otu00054_g__Nocardioides"
"51"	"Otu00055"	1.91056910569106	0.00900070957109247	0.523404255319149	0.384615384615385	27	4	"false"	28.4814814814815	0	27	0	0.985772357723577	"false"	0	"Otu00055"	1600	0.263717421124829	"no"	"o__Solirubrobacterales_unclassified"	"Otu00055_o__Solirubrobacterales_unclassified"
"52"	"Otu00056"	2.15447154471545	0.00448821796410141	0.464150943396226	0.649350649350649	22	5	"false"	24.1363636363636	0	22	0	0.981961382113821	"false"	0	"Otu00056"	782	0.268181818181818	"no"	"f__Enterobacteriaceae_unclassified"	"Otu00056_f__Enterobacteriaceae_unclassified"
"53"	"Otu00057"	2.11382113821138	0.00572642836758833	0.473076923076923	0.584415584415584	22	4	"false"	22.1818181818182	0	22	0	0.982596544715447	"false"	0	"Otu00057"	1092	0.252066115702479	"no"	"g__Corynebacterium"	"Otu00057_g__Corynebacterium"
"54"	"Otu00058"	2.04878048780488	0.0057555856218091	0.488095238095238	0.35672514619883	19	4	"false"	25.2105263157895	0	19	0	0.983612804878049	"false"	0	"Otu00058"	904	0.25671321160043	"no"	"o__MND1_unclassified"	"Otu00058_o__MND1_unclassified"
"55"	"Otu00059"	1.55284552845528	0.0887089783937218	0.643979057591623	0.235119047619048	64	4	"false"	21.6875	0	64	0	0.991361788617886	"false"	0	"Otu00059"	11400	0.188586956521739	"yes"	"PhiX_unclassified"	"Otu00059_PhiX_unclassified"
"56"	"Otu00061"	2.03252032520325	0.00600797892052366	0.492	0.395238095238095	21	5	"false"	28.8571428571429	0	21	0	0.983866869918699	"false"	0	"Otu00061"	1204	0.272237196765499	"no"	"f__Gaiellaceae_unclassified"	"Otu00061_f__Gaiellaceae_unclassified"
"57"	"Otu00062"	2.04878048780488	0.009861564171305	0.488095238095238	0.513833992094862	23	4	"false"	24.0434782608696	0	23	0	0.983612804878049	"false"	0	"Otu00062"	1722	0.253089244851259	"no"	"g__Lactobacillus"	"Otu00062_g__Lactobacillus"
"58"	"Otu00063"	2.29268292682927	0.00115227159993004	0.436170212765957	0.866666666666667	16	5	"false"	23.5625	0	16	0	0.979801829268293	"false"	0	"Otu00063"	270	0.29453125	"no"	"f__Peptostreptococcaceae_unclassified"	"Otu00063_f__Peptostreptococcaceae_unclassified"
"59"	"Otu00064"	1.91869918699187	0.0168794127525772	0.521186440677966	0.32034632034632	22	3	"false"	24.5909090909091	0	22	0	0.985645325203252	"false"	0	"Otu00064"	2730	0.221539721539722	"no"	"g__Marmoricola"	"Otu00064_g__Marmoricola"
"60"	"Otu00065"	1.88617886178862	0.011699184353278	0.530172413793103	0.330049261083744	29	4	"false"	25.3103448275862	0	29	0	0.986153455284553	"false"	0	"Otu00065"	1798	0.232204998418222	"no"	"o__Sva0725_unclassified"	"Otu00065_o__Sva0725_unclassified"
"61"	"Otu00066"	2.19512195121951	0.0830967088968745	0.455555555555556	0.295238095238095	15	4	"false"	13.2666666666667	0	15	0	0.981326219512195	"false"	0	"Otu00066"	12878	0.157142857142857	"no"	"g__Agrobacterium"	"Otu00066_g__Agrobacterium"
"62"	"Otu00067"	1.92682926829268	0.00901140815039362	0.518987341772152	0.314285714285714	21	4	"false"	25.8571428571429	0	21	0	0.985518292682927	"false"	0	"Otu00067"	1432	0.230867346938776	"no"	"g__Nocardioides"	"Otu00067_g__Nocardioides"
"63"	"Otu00068"	1.95121951219512	0.00449735256180589	0.5125	0.385281385281385	22	4	"false"	30.1363636363636	0	22	0	0.985137195121951	"false"	0	"Otu00068"	1044	0.279040404040404	"no"	"f__Gaiellaceae_unclassified"	"Otu00068_f__Gaiellaceae_unclassified"
"64"	"Otu00069"	1.88617886178862	0.0134720820232557	0.530172413793103	0.330687830687831	28	4	"false"	25.4285714285714	0	28	0	0.986153455284553	"false"	0	"Otu00069"	2108	0.231168831168831	"no"	"o__0319-7L14_unclassified"	"Otu00069_o__0319-7L14_unclassified"
"65"	"Otu00070"	2.13821138211382	0.00059828974580863	0.467680608365019	0.4	11	4	"false"	29.7272727272727	0	11	0	0.982215447154472	"false"	0	"Otu00070"	132	0.309659090909091	"no"	"o__MND1_unclassified"	"Otu00070_o__MND1_unclassified"
"66"	"Otu00072"	2.04878048780488	0.0190508915126868	0.488095238095238	0.276190476190476	15	4	"false"	27.2	0	15	0	0.983612804878049	"false"	0	"Otu00072"	2130	0.26025641025641	"no"	"g__Bacillus"	"Otu00072_g__Bacillus"
"67"	"Otu00073"	1.8130081300813	0.0370693617534607	0.551569506726457	0.272486772486772	28	3	"false"	24.3928571428571	0	28	0	0.98729674796748	"false"	0	"Otu00073"	5618	0.208180708180708	"no"	"f__Sinobacteraceae_unclassified"	"Otu00073_f__Sinobacteraceae_unclassified"
"68"	"Otu00074"	2.04878048780488	0.00190178561093924	0.488095238095238	0.450549450549451	14	4	"false"	30.2142857142857	0	14	0	0.983612804878049	"false"	0	"Otu00074"	374	0.290521978021978	"no"	"o__Solirubrobacterales_unclassified"	"Otu00074_o__Solirubrobacterales_unclassified"
"69"	"Otu00075"	2.16260162601626	0.00300812883630764	0.462406015037594	0.758169934640523	18	4	"false"	23.6666666666667	0	18	0	0.981834349593496	"false"	0	"Otu00075"	726	0.275193798449612	"no"	"k__Bacteria_unclassified"	"Otu00075_k__Bacteria_unclassified"
"70"	"Otu00077"	1.9349593495935	0.00687210907710416	0.516806722689076	0.406926406926407	22	4	"false"	29.0909090909091	0	22	0	0.985391260162602	"false"	0	"Otu00077"	1148	0.264462809917355	"no"	"f__Intrasporangiaceae_unclassified"	"Otu00077_f__Intrasporangiaceae_unclassified"
"71"	"Otu00078"	1.9349593495935	0.00287952284722585	0.516806722689076	0.502164502164502	22	4	"false"	32.3181818181818	0	22	0	0.985391260162602	"false"	0	"Otu00078"	890	0.293801652892562	"no"	"f__Gaiellaceae_unclassified"	"Otu00078_f__Gaiellaceae_unclassified"
"72"	"Otu00079"	2.07317073170732	0.00451296188238979	0.482352941176471	0.676470588235294	17	3	"false"	24.3529411764706	0	17	0	0.983231707317073	"false"	0	"Otu00079"	1314	0.251061249241965	"no"	"f__Holosporaceae_unclassified"	"Otu00079_f__Holosporaceae_unclassified"
"73"	"Otu00080"	2.14634146341463	0.00549179450779148	0.465909090909091	0.614718614718615	22	5	"false"	22.5	0	22	0	0.982088414634146	"false"	0	"Otu00080"	778	0.247252747252747	"no"	"g__Lactobacillus"	"Otu00080_g__Lactobacillus"
"74"	"Otu00081"	2.30894308943089	0.000545072997929667	0.433098591549296	0.388888888888889	9	5	"false"	28	0	9	0	0.979547764227642	"false"	0	"Otu00081"	100	0.336010709504685	"no"	"g__Nocardioides"	"Otu00081_g__Nocardioides"
"75"	"Otu00082"	2.10569105691057	0.000831862540858902	0.474903474903475	0.4	10	4	"false"	28.5	0	10	0	0.982723577235772	"false"	0	"Otu00082"	194	0.284	"no"	"g__Rhodoplanes"	"Otu00082_g__Rhodoplanes"
"76"	"Otu00083"	2.94308943089431	0.00425594526137101	0.339779005524862	0.777777777777778	9	4	"false"	9.44444444444444	0	9	0	0.969639227642276	"false"	0	"Otu00083"	1918	0.377777777777778	"no"	"g__Chryseobacterium"	"Otu00083_g__Chryseobacterium"
"77"	"Otu00084"	1.98373983739837	0.00188998422445087	0.504098360655738	0.485380116959064	19	4	"false"	31	0	19	0	0.98462906504065	"false"	0	"Otu00084"	382	0.289719626168224	"no"	"f__EB1003_unclassified"	"Otu00084_f__EB1003_unclassified"
"78"	"Otu00085"	2.68292682926829	0.000273488405379206	0.372727272727273	0	2	4	"false"	22	0	2	0	0.973704268292683	"false"	0	"Otu00085"	98	0.552631578947368	"no"	"g__Terracoccus"	"Otu00085_g__Terracoccus"
"79"	"Otu00086"	2	0.00421835100397265	0.5	0.34640522875817	18	4	"false"	27.8888888888889	0	18	0	0.984375	"false"	0	"Otu00086"	924	0.263102725366876	"no"	"g__Rhodoplanes"	"Otu00086_g__Rhodoplanes"
"80"	"Otu00087"	2.46341463414634	8.88533475498689e-06	0.405940594059406	0.989010989010989	14	5	"false"	22.8571428571429	0	14	0	0.977134146341463	"false"	0	"Otu00087"	2	0.357142857142857	"no"	"g__Clostridium"	"Otu00087_g__Clostridium"
"81"	"Otu00089"	2.21951219512195	0.000135799055199037	0.450549450549451	0.5	5	5	"false"	39	0	5	0	0.98094512195122	"false"	0	"Otu00089"	28	0.393939393939394	"no"	"c__Betaproteobacteria_unclassified"	"Otu00089_c__Betaproteobacteria_unclassified"
"82"	"Otu00090"	2.16260162601626	0.00287216118368202	0.462406015037594	0.307692307692308	13	4	"false"	24.1538461538462	0	13	0	0.981834349593496	"false"	0	"Otu00090"	352	0.25889164598842	"no"	"f__FFCH4570_unclassified"	"Otu00090_f__FFCH4570_unclassified"
"83"	"Otu00091"	2.17886178861789	0.000648265783305671	0.458955223880597	0.4	10	5	"false"	30.9	0	10	0	0.981580284552846	"false"	0	"Otu00091"	122	0.312121212121212	"no"	"g__Rhodoplanes"	"Otu00091_g__Rhodoplanes"
"84"	"Otu00092"	2.08130081300813	0.00346620100043752	0.48046875	0.301470588235294	17	4	"false"	25.1176470588235	0	17	0	0.983104674796748	"false"	0	"Otu00092"	526	0.261029411764706	"no"	"o__SC-I-84_unclassified"	"Otu00092_o__SC-I-84_unclassified"
"85"	"Otu00093"	2	0.00877162797871346	0.5	0.461538461538462	13	3	"false"	29.2307692307692	0	13	0	0.984375	"false"	0	"Otu00093"	1946	0.265734265734266	"no"	"o__Ellin6067_unclassified"	"Otu00093_o__Ellin6067_unclassified"
"86"	"Otu00094"	1.92682926829268	0.0201334426913782	0.518987341772152	0.266666666666667	16	3	"false"	27.1875	0	16	0	0.985518292682927	"false"	0	"Otu00094"	3318	0.237390350877193	"no"	"o__DS-18_unclassified"	"Otu00094_o__DS-18_unclassified"
"87"	"Otu00095"	2.0650406504065	0.00236512496693312	0.484251968503937	0.342857142857143	15	4	"false"	27.0666666666667	0	15	0	0.983358739837398	"false"	0	"Otu00095"	516	0.267986798679868	"no"	"f__Geodermatophilaceae_unclassified"	"Otu00095_f__Geodermatophilaceae_unclassified"
"88"	"Otu00096"	1.99186991869919	0.0106080757791059	0.502040816326531	0.483076923076923	26	4	"false"	23.0769230769231	0	26	0	0.984502032520325	"false"	0	"Otu00096"	1860	0.233100233100233	"no"	"g__Lactobacillus"	"Otu00096_g__Lactobacillus"
"89"	"Otu00097"	2.10569105691057	0.00264999609912609	0.474903474903475	0.361904761904762	15	4	"false"	25.7333333333333	0	15	0	0.982723577235772	"false"	0	"Otu00097"	488	0.270175438596491	"no"	"f__Rhodospirillaceae_unclassified"	"Otu00097_f__Rhodospirillaceae_unclassified"
"90"	"Otu00098"	2.13821138211382	0.00491447986333568	0.467680608365019	0.588932806324111	23	5	"false"	23.1304347826087	0	23	0	0.982215447154472	"false"	0	"Otu00098"	816	0.254180602006689	"no"	"g__Dietzia"	"Otu00098_g__Dietzia"
"91"	"Otu00099"	1.95934959349593	0.0201540483698554	0.510373443983403	0.361742424242424	33	5	"false"	22.030303030303	0	33	0	0.985010162601626	"false"	0	"Otu00099"	2474	0.213886437187408	"no"	"g__Corynebacterium"	"Otu00099_g__Corynebacterium"
"92"	"Otu00100"	2.19512195121951	0.00149759308010911	0.455555555555556	0.435897435897436	13	5	"false"	28.3846153846154	0	13	0	0.981326219512195	"false"	0	"Otu00100"	212	0.304383788254756	"no"	"g__Kaistobacter"	"Otu00100_g__Kaistobacter"
"93"	"Otu00101"	2.07317073170732	0.00257290418667706	0.482352941176471	0.3	16	4	"false"	24.1875	0	16	0	0.983231707317073	"false"	0	"Otu00101"	500	0.244318181818182	"no"	"g__Arthrobacter"	"Otu00101_g__Arthrobacter"
"94"	"Otu00102"	2.04065040650406	0.00266192145335677	0.49003984063745	0.320512820512821	13	4	"false"	29.5384615384615	0	13	0	0.983739837398374	"false"	0	"Otu00102"	512	0.280586080586081	"no"	"f__[Kouleothrixaceae]_unclassified"	"Otu00102_f__[Kouleothrixaceae]_unclassified"
"95"	"Otu00103"	2.05691056910569	0.00201737324576924	0.486166007905138	0.466666666666667	16	5	"false"	29.0625	0	16	0	0.983485772357724	"false"	0	"Otu00103"	348	0.269097222222222	"no"	"g__Alicyclobacillus"	"Otu00103_g__Alicyclobacillus"
"96"	"Otu00104"	2.24390243902439	0.000524710331270191	0.445652173913043	0.416666666666667	9	4	"false"	26.7777777777778	0	9	0	0.980564024390244	"false"	0	"Otu00104"	102	0.313725490196078	"no"	"o__SC-I-84_unclassified"	"Otu00104_o__SC-I-84_unclassified"
"97"	"Otu00105"	2.13821138211382	0.000969837345389849	0.467680608365019	0.422222222222222	10	5	"false"	32.4	0	10	0	0.982215447154472	"false"	0	"Otu00105"	204	0.311538461538462	"no"	"p__Chloroflexi_unclassified"	"Otu00105_p__Chloroflexi_unclassified"
"98"	"Otu00106"	2.20325203252033	0.000709801347737743	0.453874538745387	0.418181818181818	11	4	"false"	29.0909090909091	0	11	0	0.98119918699187	"false"	0	"Otu00106"	148	0.316205533596838	"no"	"c__Alphaproteobacteria_unclassified"	"Otu00106_c__Alphaproteobacteria_unclassified"
"99"	"Otu00107"	2.3739837398374	0.000108017257125356	0.421232876712329	0.4	5	5	"false"	32.6	0	5	0	0.978531504065041	"false"	0	"Otu00107"	22	0.4075	"no"	"f__Gaiellaceae_unclassified"	"Otu00107_f__Gaiellaceae_unclassified"
"100"	"Otu00108"	2.03252032520325	0.00152542282771413	0.492	0.362637362637363	14	4	"false"	30.0714285714286	0	14	0	0.983866869918699	"false"	0	"Otu00108"	374	0.283692722371968	"no"	"o__Solirubrobacterales_unclassified"	"Otu00108_o__Solirubrobacterales_unclassified"
